Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret
4D-C-Z4.tif,1671,8.639,0.005,36.253,0.312,0.616,0.796,0.109,494.679,366.118,94.283,0.070
4D-D-Z4.tif,1572,8.509,0.005,35.709,0.321,0.611,0.793,0.113,506.204,359.278,94.762,0.071
4D-U-Z4.tif,1546,6.920,0.004,29.041,0.320,0.522,0.754,0.105,510.761,366.912,96.289,0.067
4U-C-Z4.tif,1566,7.639,0.005,32.059,0.302,0.639,0.811,0.108,508.042,361.976,97.036,0.068
4U-D-Z4.tif,1523,7.341,0.005,30.806,0.299,0.636,0.807,0.107,494.798,364.880,96.335,0.068
4U-U-Z4.tif,1487,8.149,0.005,34.198,0.313,0.637,0.807,0.111,489.358,364.024,96.460,0.071
