Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret
gcb8284.tif,444,482.789,1.087,7.249,3.712,0.863,0.888,1.366,555.730,370.113,92.787,0.949
gcb8287.tif,425,561.114,1.320,8.425,4.138,0.842,0.881,1.526,546.824,346.153,91.797,1.023
gcb8290.tif,481,597.232,1.242,8.968,4.077,0.819,0.869,1.485,564.441,373.514,86.940,0.986
gcb8293.tif,562,635.815,1.131,9.547,4.123,0.785,0.850,1.519,485.356,362.966,93.669,0.948
gcb8296.tif,568,631.860,1.112,9.488,4.085,0.775,0.845,1.507,478.320,373.838,94.198,0.935
gcb8299.tif,613,630.556,1.029,9.468,3.840,0.783,0.842,1.401,527.527,367.884,93.363,0.896
gcb8302.tif,696,657.342,0.944,9.870,3.636,0.811,0.858,1.371,495.922,367.829,96.626,0.823
gcb8305.tif,591,641.522,1.085,9.633,3.963,0.779,0.843,1.481,505.941,353.763,98.339,0.867
gcb8308.tif,602,734.811,1.221,11.033,4.301,0.761,0.841,1.583,520.350,355.542,97.284,0.921
gcb8323.tif,548,726.851,1.326,10.914,4.242,0.795,0.860,1.584,521.049,364.381,102.275,0.986
gcb8326.tif,517,731.517,1.415,10.984,4.425,0.798,0.862,1.608,547.081,352.176,91.744,1.046
gcb8329.tif,472,697.127,1.477,10.468,4.449,0.814,0.873,1.632,533.051,359.994,91.759,1.067
gcb8332.tif,627,659.230,1.051,9.899,3.950,0.773,0.844,1.444,506.293,352.337,91.317,0.901
gcb8335.tif,578,700.378,1.212,10.516,4.239,0.778,0.845,1.541,455.201,353.597,91.517,0.973
gcb8338.tif,608,849.322,1.397,12.753,4.501,0.772,0.845,1.623,461.319,370.895,93.427,1.014
gcb8341.tif,665,761.233,1.145,11.430,4.149,0.762,0.833,1.504,527.529,361.132,95.375,0.908
gcb8344.tif,556,698.752,1.257,10.492,4.439,0.753,0.834,1.601,511.252,377.705,98.828,0.950
gcb8347.tif,503,746.201,1.484,11.204,5.052,0.711,0.821,1.884,522.382,382.386,110.788,0.985
