 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
4253,4D-U-Z4.tif,0.002,0.217,0.654,0.076,311,483,59.744,0.055,1.460,0.685,0.827
4254,4D-U-Z4.tif,0.005,0.366,0.456,0.117,374,472,135.000,0.073,1.848,0.541,0.744
4255,4D-U-Z4.tif,0.001,0.150,0.713,0.055,984,472,126.870,0.043,1.331,0.751,0.778
4256,4D-U-Z4.tif,0.002,0.292,0.326,0.090,215,473,137.490,0.054,1.687,0.593,0.627
4257,4D-U-Z4.tif,0.003,0.205,0.817,0.074,798,481,26.565,0.055,1.316,0.760,0.874
4258,4D-U-Z4.tif,0.001,0.184,0.494,0.072,231,476,157.380,0.037,2.423,0.413,0.693
4259,4D-U-Z4.tif,0.004,0.292,0.584,0.092,348,486,32.735,0.074,1.147,0.872,0.826
4260,4D-U-Z4.tif,0.004,0.295,0.634,0.101,253,475,112.380,0.066,1.662,0.602,0.845
4261,4D-U-Z4.tif,0.003,0.236,0.752,0.081,931,484,28.301,0.064,1.280,0.781,0.884
4262,4D-U-Z4.tif,0.004,0.314,0.568,0.104,440,476,108.435,0.080,1.354,0.739,0.766
4263,4D-U-Z4.tif,0.002,0.189,0.542,0.067,859,477,170.538,0.039,1.600,0.625,0.734
4264,4D-U-Z4.tif,0.007,0.401,0.584,0.142,117,502,76.504,0.084,1.881,0.532,0.778
4265,4D-U-Z4.tif,0.001,0.167,0.504,0.063,577,477,142.125,0.037,1.635,0.612,0.779
4266,4D-U-Z4.tif,0.018,0.980,0.230,0.222,763,480,138.013,0.158,1.517,0.659,0.656
4267,4D-U-Z4.tif,0.008,0.474,0.448,0.178,74,494,21.801,0.087,2.469,0.405,0.794
4268,4D-U-Z4.tif,0.004,0.281,0.669,0.103,889,496,74.476,0.061,1.693,0.591,0.840
4269,4D-U-Z4.tif,0.007,0.550,0.302,0.156,192,479,140.711,0.096,1.786,0.560,0.692
4270,4D-U-Z4.tif,0.001,0.169,0.469,0.051,340,479,130.601,0.039,1.252,0.798,0.680
4271,4D-U-Z4.tif,0.006,0.401,0.467,0.167,684,486,9.462,0.056,3.053,0.328,0.804
4272,4D-U-Z4.tif,0.002,0.206,0.600,0.070,964,490,51.340,0.047,1.517,0.659,0.812
4273,4D-U-Z4.tif,0.002,0.198,0.600,0.070,614,483,161.565,0.050,1.306,0.766,0.770
4274,4D-U-Z4.tif,0.003,0.326,0.401,0.105,172,481,137.121,0.070,1.568,0.638,0.677
4275,4D-U-Z4.tif,0.005,0.411,0.365,0.130,236,482,143.616,0.082,1.565,0.639,0.697
4276,4D-U-Z4.tif,0.002,0.219,0.542,0.069,409,492,61.390,0.056,1.079,0.927,0.739
4277,4D-U-Z4.tif,0.003,0.334,0.341,0.126,715,483,142.125,0.053,2.977,0.336,0.649
4278,4D-U-Z4.tif,0.002,0.214,0.591,0.067,808,493,65.556,0.055,1.295,0.772,0.793
4279,4D-U-Z4.tif,0.003,0.324,0.389,0.113,825,483,150.945,0.064,2.196,0.455,0.658
4280,4D-U-Z4.tif,0.004,0.311,0.515,0.117,990,490,8.130,0.059,1.989,0.503,0.794
4281,4D-U-Z4.tif,0.002,0.194,0.608,0.076,68,492,30.256,0.044,1.739,0.575,0.784
4282,4D-U-Z4.tif,0.003,0.247,0.537,0.099,511,484,146.310,0.049,1.942,0.515,0.775
4283,4D-U-Z4.tif,0.002,0.259,0.334,0.090,578,484,127.569,0.041,2.692,0.372,0.618
4284,4D-U-Z4.tif,0.001,0.142,0.699,0.052,595,493,71.565,0.039,1.464,0.683,0.755
4285,4D-U-Z4.tif,0.002,0.198,0.561,0.068,741,493,14.036,0.050,1.251,0.800,0.773
4286,4D-U-Z4.tif,0.004,0.324,0.444,0.107,350,492,11.889,0.055,1.935,0.517,0.813
4287,4D-U-Z4.tif,0.012,0.600,0.419,0.179,457,486,137.490,0.124,1.613,0.620,0.736
4288,4D-U-Z4.tif,0.003,0.286,0.429,0.096,945,494,30.964,0.058,1.910,0.524,0.708
4289,4D-U-Z4.tif,0.002,0.259,0.396,0.079,131,486,123.690,0.062,1.545,0.647,0.642
4290,4D-U-Z4.tif,0.001,0.159,0.644,0.064,1008,492,30.964,0.036,1.886,0.530,0.761
4291,4D-U-Z4.tif,0.001,0.145,0.650,0.051,152,490,167.471,0.037,1.317,0.759,0.750
4292,4D-U-Z4.tif,0.001,0.117,0.996,0.044,601,494,60.255,0.033,1.140,0.878,0.923
4293,4D-U-Z4.tif,0.001,0.167,0.463,0.070,41,489,161.565,0.025,3.035,0.330,0.694
4294,4D-U-Z4.tif,0.001,0.133,0.906,0.054,162,489,156.038,0.033,1.523,0.657,0.884
4295,4D-U-Z4.tif,0.005,0.493,0.260,0.126,256,499,23.199,0.099,1.175,0.851,0.606
4296,4D-U-Z4.tif,0.001,0.203,0.342,0.067,383,496,9.462,0.044,1.610,0.621,0.548
4297,4D-U-Z4.tif,0.003,0.301,0.457,0.112,418,488,101.310,0.055,2.247,0.445,0.734
4298,4D-U-Z4.tif,0.002,0.213,0.615,0.072,500,488,157.380,0.050,1.300,0.769,0.825
4299,4D-U-Z4.tif,0.001,0.137,0.826,0.049,757,493,26.565,0.039,1.121,0.892,0.854
4300,4D-U-Z4.tif,0.002,0.233,0.506,0.086,902,502,63.435,0.044,2.226,0.449,0.738
4301,4D-U-Z4.tif,0.007,0.495,0.381,0.170,633,492,150.945,0.096,1.761,0.568,0.766
